"FileName="BV_TWEM_20220531_1514
"FileDate="20220531
"FileTime="15:14
"FileExpiration="20220601 15:14
"FileSequence=458"
"DataDelimiter= ,"

TRADE DATE EXECUTION TIME,PUBLICATION DATE,VENUE OF EXECUTION,INSTRUMENT ID TYPE,ISIN,PRICE,MONE,PERC,YIEL,BAPO,PRICE NOTATION,PRICE CURRENCY,QUANTITY,QUANTITY TYPE,QUANTITY IN MEASUREMENT UNIT,QUANTITY NOTATION MEASUREMENT UNIT,NOTIONAL AMOUNT,NOTIONAL CURRENCY,EMISSION ALLOWANCE TYPE,PUBLICATION ID,ORGINAL ID,TRANSACTION TO BE CLEARED,TRANSCATION COUNT,FLAGS,SUPPLEMENTARY DEFERRAL FLAGS,NO SUBMITTED TRANS (TPCC),SUBMITTED NOTIONAL (TPCC),SUBMITTED NOTIONAL 2 (TPCC),NOTIONAL CURRENCY 2 (TPCC),NO TERMINATED/REDUCED TRANS (TPCC),TERMINATED/REDUCED NOTIONAL (TPCC),TERMINATED/REDUCED NOTIONAL 2 (TPCC),REPLACEMENT NOTIONAL (TPCC),REPLACEMENT NOTIONAL 2 (TPCC),SUB ASSET CLASSES (TPCC),REPLACEMENT SUB ASSET CLASSES (TPCC),REPLACEMENT CURRENCIES (TPCC),NO REPLACEMENT TRANS (TPCC)
2022-05-31T15:14:06.884Z,2022-05-31 15:14:08,TWEM,ISIN,ES00000128Q6,100.645,,,,,PERC,EUR,30000,Units,0,,30000,EUR,,'3605455857640282422,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:07.901Z,2022-05-31 15:14:08,TWEM,ISIN,FR0011486067,101.578,,,,,PERC,EUR,1585400,Units,0,,1585400,EUR,,'3605455857640282423,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:06.938Z,2022-05-31 15:14:08,TWEM,ISIN,IT0005403396,85.949,,,,,PERC,EUR,40000,Units,0,,40000,EUR,,'3605455857640282424,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:06.954Z,2022-05-31 15:14:08,TWEM,ISIN,IT0001278511,117.852,,,,,PERC,EUR,40000,Units,0,,40000,EUR,,'3605455857640282425,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:07.678Z,2022-05-31 15:14:08,TWEM,ISIN,IT0005433195,73.334,,,,,PERC,EUR,30000,Units,0,,30000,EUR,,'3605455857640282426,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:06.416Z,2022-05-31 15:14:09,TWEM,ISIN,FR0013515806,77.087,,,,,PERC,EUR,1070000,Units,0,,1070000,EUR,,'3605455857640282427,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:07.803Z,2022-05-31 15:14:09,TWEM,ISIN,IT0005390874,94.281,,,,,PERC,EUR,20000,Units,0,,20000,EUR,,'3605455857640282428,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:07.814Z,2022-05-31 15:14:09,TWEM,ISIN,IT0005416570,93.335,,,,,PERC,EUR,30000,Units,0,,30000,EUR,,'3605455857640282429,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:06.467Z,2022-05-31 15:14:09,TWEM,ISIN,BE0000354630,87.444,,,,,PERC,EUR,600000,Units,0,,600000,EUR,,'3605455857640282430,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:07.840Z,2022-05-31 15:14:09,TWEM,ISIN,FR0010916924,109.962,,,,,PERC,EUR,10000,Units,0,,10000,EUR,,'3605455857640282431,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:06.481Z,2022-05-31 15:14:09,TWEM,ISIN,FR0014002JM6,72.28,,,,,PERC,EUR,160000,Units,0,,160000,EUR,,'3605455857640282432,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:06.919Z,2022-05-31 15:14:09,TWEM,ISIN,ES00000124H4,142.108,,,,,PERC,EUR,20000,Units,0,,20000,EUR,,'3605455857640282433,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:06.495Z,2022-05-31 15:14:09,TWEM,ISIN,FR0013407236,94.746,,,,,PERC,EUR,10000,Units,0,,10000,EUR,,'3605455857640282434,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:07.366Z,2022-05-31 15:14:09,TWEM,ISIN,FR0013250560,99.587,,,,,PERC,EUR,350000,Units,0,,350000,EUR,,'3605455857640282435,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:07.184Z,2022-05-31 15:14:09,TWEM,ISIN,AT0000A2CQD2,89.325,,,,,PERC,EUR,10000,Units,0,,10000,EUR,,'3605455857640282436,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:07.349Z,2022-05-31 15:14:09,TWEM,ISIN,ES0000012I24,78.374,,,,,PERC,EUR,100000,Units,0,,100000,EUR,,'3605455857640282437,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:06.290Z,2022-05-31 15:14:09,TWEM,ISIN,FR0013250560,99.606,,,,,PERC,EUR,1800000,Units,0,,1800000,EUR,,'3605455857640282438,,N,,,,,,,,,,,,,,,,,
2022-05-31T15:14:07.426Z,2022-05-31 15:14:09,TWEM,ISIN,PTOTETOE0012,106.616,,,,,PERC,EUR,75000,Units,0,,75000,EUR,,'3605455857640282439,,N,,,,,,,,,,,,,,,,,
